# 2026년 8주차 CMP 인프라 정기점검 보고서
# 생성일시: 2026-02-20 17:21:49
# 회사: CMP 인프라
# 담당팀: 클라우드서비스팀
# 총 점검항목: 95
# 정상: 82 / 경고: 2 / 위험: 11 / 확인불가: 0

점검ID,점검항목,카테고리,환경,점검대상,설명,상태,측정값,임계치,결과메시지,중요도,점검시간
APP-LOKI-01,Loki Gateway,Logging,GPU,GPU Apps,Loki Gateway 서비스 상태,정상,1,1개,정상 (현재 1개),high,2026-02-20T17:21:47.546829
APP-LOKI-02,Loki Write/Read,Logging,GPU,GPU Apps,Loki 읽기/쓰기 노드 상태,정상,6,2개,정상 (현재 6개),medium,2026-02-20T17:21:47.635487
APP-RABBIT-01,RabbitMQ,Middleware,GPU,GPU Apps,RabbitMQ 메시지 브로커 상태,위험,0,1개,개수 부족 (현재 0/1),high,2026-02-20T17:21:48.131588
APP-SONAR-01,SonarQube,CICD,GPU,GPU Apps,SonarQube 서버 상태,위험,0,1개,개수 부족 (현재 0/1),medium,2026-02-20T17:21:48.215702
APP-TRAEFIK-01,Traefik,Ingress,GPU,GPU Apps,Traefik Ingress Controller 상태,정상,1,1개,정상 (현재 1개),critical,2026-02-20T17:21:48.315765
SW-VER-01,Kubernetes 버전,SW Version,GPU,gpu-master-01,Kubelet 버전 확인 (Node 레벨),정상,v1.34.3,-,버전 정보,info,2026-02-20T17:21:48.823611
SW-VER-02,Containerd 버전,SW Version,GPU,gpu-master-01,Containerd 런타임 버전 확인,정상,v2.2.1,-,버전 정보,info,2026-02-20T17:21:49.172476
SW-VER-03,전체 Pod 이미지 현황,SW Version,GPU,GPU Cluster,클러스터 내 구동 중인 모든 Pod의 이미지 태그 추출,정상,총 172개 이미지 (상세 생략),-,이미지 172개 추출 완료,info,2026-02-20T17:21:49.788074
STG-001,NFS 마운트 상태,Storage,GPU,GPU Cluster,NFS 마운트 포인트 확인,위험,0,1개,부족 (현재 0/1),critical,2026-02-20T17:21:49.791701
STG-002,NFS 서비스 포트,Storage,GPU,GPU Cluster,NFS 서비스 포트(2049) 응답 확인,위험,연결 불가,-,포트 연결 실패,critical,2026-02-20T17:21:49.792071
